episode,total_reward,epsilon
976,-6.8600,0.23071
977,9.4400,0.23036
978,-12.1400,0.23002
979,-5.9000,0.22967
980,-9.7400,0.22933
981,9.4800,0.22898
982,-9.7400,0.22864
983,-5.9000,0.22830
984,-8.3000,0.22795
985,-5.4200,0.22761
986,-23.1800,0.22727
987,-8.7800,0.22693
988,-11.6600,0.22659
989,-5.9000,0.22625
990,-11.1800,0.22591
991,-11.1800,0.22557
992,9.9800,0.22523
993,9.9800,0.22490
994,-9.7400,0.22456
995,-8.7800,0.22422
996,-8.3000,0.22389
997,-8.7800,0.22355
998,-11.1800,0.22321
999,9.4400,0.22288
1000,9.9400,0.22254
1001,-8.7800,0.22221
1002,-11.1800,0.22188
1003,-9.2600,0.22154
1004,-10.2200,0.22121
1005,-6.3800,0.22088
1006,-14.0600,0.22055
1007,-11.1800,0.22022
1008,9.4000,0.21989
1009,-4.9400,0.21956
1010,-7.3400,0.21923
1011,-8.3000,0.21890
1012,-5.9000,0.21857
1013,-6.8600,0.21824
1014,-8.7800,0.21792
1015,-6.3800,0.21759
1016,-5.4200,0.21726
1017,-7.3400,0.21694
1018,-7.3400,0.21661
1019,-9.2600,0.21629
1020,8.1000,0.21596
1021,-8.3000,0.21564
1022,-8.3000,0.21532
1023,-6.8600,0.21499
1024,-9.2600,0.21467
1025,-6.3800,0.21435
1026,-7.3400,0.21403
1027,9.4400,0.21371
1028,-9.2600,0.21338
1029,-5.9000,0.21306
1030,-3.9800,0.21274
1031,-4.9400,0.21243
1032,-8.3000,0.21211
1033,9.9800,0.21179
1034,-8.3000,0.21147
1035,-8.3000,0.21115
1036,-6.8600,0.21084
1037,-13.1000,0.21052
1038,-9.7400,0.21021
1039,-6.3800,0.20989
1040,-6.8600,0.20958
1041,-9.7400,0.20926
1042,-9.2600,0.20895
1043,-24.6200,0.20863
1044,-7.3400,0.20832
1045,-8.3000,0.20801
1046,-5.4200,0.20770
1047,-16.9400,0.20738
1048,-9.2600,0.20707
1049,9.9800,0.20676
1050,-6.8600,0.20645
1051,-7.3400,0.20614
1052,-8.3000,0.20583
1053,-8.7800,0.20553
1054,9.9400,0.20522
1055,-8.3000,0.20491
1056,-4.4600,0.20460
1057,8.6800,0.20429
1058,-5.4200,0.20399
1059,-9.2600,0.20368
1060,-10.2200,0.20338
1061,9.9400,0.20307
1062,-16.9400,0.20277
1063,-8.7800,0.20246
1064,-7.3400,0.20216
1065,-8.3000,0.20186
1066,-10.2200,0.20155
1067,-10.7000,0.20125
1068,-7.3400,0.20095
1069,-6.3800,0.20065
1070,-10.2200,0.20035
1071,-9.2600,0.20005
1072,-5.4200,0.19975
1073,-5.4200,0.19945
1074,-8.3000,0.19915
